Country,State,City,StationName,PM25,AQI,MainPollutant,PM10,SO2,CO,NO2,Ozone
USA,Pennsylvania,Avalon,Avalon,4.89,20,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,8.25,34,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,5.93,25,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,11.72,48,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.62,23,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),7.39,31,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.26,22,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.88,28,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),11.82,49,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),4.64,19,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.55,23,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),7.09,29,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.24,22,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),7.58,31,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6,25,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),11.71,48,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),14.67,56,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),4.22,17,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),8.54,35,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),17.04,61,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),10.88,45,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),4.38,18,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),19.61,67,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),11.22,46,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),13.78,55,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),16.38,60,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),17.48,62,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),13.46,54,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.71,28,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),4.38,18,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),9.57,40,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),13.55,54,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),1.09,5,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.67,23,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.54,23,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),7.8,32,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.38,26,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),21.54,71,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),10,41,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),14.96,57,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),7.04,29,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),14.42,56,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.25,22,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.71,24,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.96,29,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),18.09,64,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),10.88,45,PM2.5,14.72,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2.04,8,PM2.5,2.84,,,,
